20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hkdoor.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_iamtheking.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_icefog.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_indetectables_rat.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_industroyer.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_inocnation.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_irongate.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_irontiger.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_irontiger_trendmicro.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ism_rat.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_kaspersky_duqu2.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ke3chang.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_keyboys.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_keylogger_cn.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_khrat.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_korplug_fast.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_kwampirs.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_laudanum_webshells.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_applejeus.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_aug20.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_dec17.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_dec20.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_gopuram.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_jan21.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_jun18.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_vhd_ransomware.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_leviathan.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lnx_kobalos.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lnx_linadoor_rootkit.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lotusblossom_elise.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_magichound.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_mal_gopuram_apr23.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_mal_ilo_board_elf.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_mal_ru_snake_may23.yar
